iter	Passed	Remaining
926	2100	165
927	2103	163
928	2105	160
929	2107	158
930	2109	156
931	2111	154
932	2113	151
933	2115	149
934	2117	147
935	2119	144
936	2122	142
937	2124	140
938	2126	138
939	2128	135
940	2130	133
941	2132	131
942	2134	129
943	2136	126
944	2139	124
945	2141	122
946	2143	119
947	2145	117
948	2147	115
949	2150	113
950	2152	110
951	2154	108
952	2156	106
953	2158	104
954	2160	101
955	2162	99
956	2164	97
957	2166	94
958	2168	92
959	2170	90
960	2172	88
961	2175	85
962	2177	83
963	2179	81
964	2181	79
965	2183	76
966	2185	74
967	2188	72
968	2190	70
969	2192	67
970	2194	65
971	2196	63
972	2198	61
973	2200	58
974	2202	56
975	2204	54
976	2207	51
977	2209	49
978	2212	47
979	2214	45
980	2216	42
981	2218	40
982	2220	38
983	2222	36
984	2224	33
985	2227	31
986	2229	29
987	2231	27
988	2233	24
989	2235	22
990	2237	20
991	2239	18
992	2241	15
993	2244	13
994	2246	11
995	2248	9
996	2250	6
997	2252	4
998	2254	2
999	2256	0
